Resolution,BC_a,BC_b,BC_c,BC_d,L2_Error,PDE_Error_Pred,PDE_Error_True
2x,-0.5,0.5,0.0,0.0,1.2768670785590075e-05,0.1831756830215454,0.1831708401441574
2x,-0.5,0.5,0.0,0.0,1.623272146389354e-05,0.1831684410572052,0.18316903710365295
2x,-0.5,0.5,0.0,0.0,4.037876715301536e-05,0.1831643134355545,0.18316800892353058
2x,-0.5,0.5,0.0,0.0,5.6826916079444345e-06,0.1831672340631485,0.18316993117332458
2x,-0.5,0.5,0.0,0.0,5.5906093621160835e-05,0.18316799402236938,0.1831689178943634
2x,-0.5,0.5,0.0,0.0,9.743758710101247e-06,0.18316949903964996,0.18317003548145294
2x,-0.5,0.5,0.0,0.0,2.3386077373288572e-05,0.18317313492298126,0.18317119777202606
2x,-0.5,0.5,0.0,0.0,4.0997845644596964e-05,0.1831720471382141,0.18316859006881714
2x,-0.5,0.5,0.0,0.0,4.9696322093950585e-05,0.1831658035516739,0.18316857516765594
2x,-0.5,0.5,0.0,0.0,1.540220000606496e-05,0.18317440152168274,0.18316973745822906
2x,-0.5,0.5,0.0,0.0,8.832254934532102e-06,0.1831687092781067,0.18317027390003204
2x,-0.5,0.5,0.0,0.0,2.3196847905637696e-05,0.18316848576068878,0.1831689178943634
2x,-0.5,0.5,0.0,0.0,6.123817001935095e-06,0.18316690623760223,0.18316981196403503
2x,-0.5,0.5,0.0,0.0,0.00016762611630838364,0.18318185210227966,0.183169424533844
2x,-0.5,0.5,0.0,0.0,2.2434904167312197e-05,0.18317052721977234,0.18317076563835144
2x,-0.5,0.5,0.0,0.0,5.186057387618348e-05,0.18316520750522614,0.18316961824893951
2x,-0.5,0.5,0.0,0.0,3.033046414202545e-05,0.1831742227077484,0.18316985666751862
